Gender,Age,Health Tier,Coverage Amount,Monthly Premium ($)
Male,60,Eagle Select 1,21000,86.38
Male,60,Eagle Select 1,22000,90.31
Male,60,Eagle Select 1,23000,94.24
Male,60,Eagle Select 1,24000,98.17
Male,60,Eagle Select 1,25000,102.1
Male,60,Eagle Select 1,26000,106.03
Male,60,Eagle Select 1,27000,109.96
Male,60,Eagle Select 1,28000,113.89
Male,60,Eagle Select 1,29000,117.82
Male,60,Eagle Select 1,30000,121.75
Male,60,Eagle Select 1,31000,125.68
Male,60,Eagle Select 1,32000,129.61
Male,60,Eagle Select 1,33000,133.54
Male,60,Eagle Select 1,34000,137.47
Male,60,Eagle Select 1,35000,141.4
Male,60,Eagle Select 1,36000,145.33
Male,60,Eagle Select 1,37000,149.26
Male,60,Eagle Select 1,38000,153.19
Male,60,Eagle Select 1,39000,157.12
Male,60,Eagle Select 1,40000,161.05
Male,61,Eagle Select 1,21000,86.38
Male,61,Eagle Select 1,22000,90.31
Male,61,Eagle Select 1,23000,94.24
Male,61,Eagle Select 1,24000,98.17
Male,61,Eagle Select 1,25000,102.1
Male,61,Eagle Select 1,26000,106.03
Male,61,Eagle Select 1,27000,109.96
Male,61,Eagle Select 1,28000,113.89
Male,61,Eagle Select 1,29000,117.82
Male,61,Eagle Select 1,30000,121.75
Male,61,Eagle Select 1,31000,125.68
Male,61,Eagle Select 1,32000,129.61
Male,61,Eagle Select 1,33000,133.54
Male,61,Eagle Select 1,34000,137.47
Male,61,Eagle Select 1,35000,141.4
Male,61,Eagle Select 1,36000,145.33
Male,61,Eagle Select 1,37000,149.26
Male,61,Eagle Select 1,38000,153.19
Male,61,Eagle Select 1,39000,157.12
Male,61,Eagle Select 1,40000,161.05
Male,62,Eagle Select 1,21000,98.59
Male,62,Eagle Select 1,22000,102.52
Male,62,Eagle Select 1,23000,106.45
Male,62,Eagle Select 1,24000,110.38
Male,62,Eagle Select 1,25000,114.31
Male,62,Eagle Select 1,26000,118.24
Male,62,Eagle Select 1,27000,122.17
Male,62,Eagle Select 1,28000,126.1
Male,62,Eagle Select 1,29000,130.03
Male,62,Eagle Select 1,30000,133.96
Male,62,Eagle Select 1,31000,137.89
Male,62,Eagle Select 1,32000,141.82
Male,62,Eagle Select 1,33000,145.75
Male,62,Eagle Select 1,34000,149.68
Male,62,Eagle Select 1,35000,153.61
Male,62,Eagle Select 1,36000,157.54
Male,62,Eagle Select 1,37000,161.47
